TransactionID,CustomerName,TransactionDate,AmountSpent,ProductName
1,Sam Taylor,2023-05-24,147.94,External Hard Drive
2,Sam Taylor,2023-09-12,68.13,Tablet
3,Sam Taylor,2023-09-26,762.26,Tablet
4,Sam Taylor,2022-01-21,755.12,Power Bank
5,Sam Taylor,2022-06-09,554.61,Tablet
6,Sam Taylor,2023-05-22,65.5,Tablet
7,Sam Taylor,2023-09-04,562.75,Bluetooth Earbuds
8,Sam Taylor,2022-09-24,175.7,External Hard Drive
9,Sam Taylor,2023-10-25,22.8,Keyboard
10,Sam Taylor,2022-02-27,575.92,Laptop
11,Alice Martinez,2023-09-17,284.25,Speaker
12,Alice Martinez,2023-09-14,772.16,Power Bank
13,Alice Martinez,2022-04-15,60.75,Camera
14,Alice Martinez,2023-03-30,561.94,Wireless Router
15,Alice Martinez,2023-10-08,973.77,Backpack
16,Alice Martinez,2023-06-25,885.55,Printer
17,Alice Martinez,2023-10-22,416.21,Backpack
18,Alice Martinez,2022-11-02,766.91,Desk Lamp
19,Alice Martinez,2023-11-27,519.9,Wireless Router
20,Alice Martinez,2023-11-14,530.62,Camera
21,Wendy Rodriguez,2022-07-25,350.11,Microphone
22,Sam Garcia,2023-12-20,712.31,External Hard Drive
23,Sam Garcia,2022-12-11,968.8,Keyboard
24,Sam Garcia,2022-03-21,859.27,Camera
25,Sam Garcia,2023-10-26,582.78,External Hard Drive
26,Sam Garcia,2022-02-20,884.1,Power Bank
27,Sam Garcia,2023-02-06,856.51,Wireless Router
28,Sam Garcia,2022-02-19,667.88,Wireless Router
29,Sam Garcia,2023-01-08,303.85,Microphone
30,Sam Garcia,2023-11-30,54.14,Backpack
31,Sam Garcia,2022-05-08,768.13,Speaker
32,Sam Garcia,2023-05-27,13.26,Headphones
33,Sam Garcia,2023-07-20,789.42,Printer
34,Frank Allen,2023-12-10,450.61,Tablet
35,Frank Allen,2023-08-21,722.37,Keyboard
36,Frank Allen,2022-05-29,847.11,External Hard Drive
37,Frank Allen,2023-12-28,441.24,Keyboard
38,Frank Allen,2023-05-22,797.2,Gaming Console
39,Alice Moore,2022-01-09,491.78,Tablet
40,Alice Moore,2022-06-27,13.99,Mouse
41,Alice Moore,2022-09-20,314.22,Printer
42,Alice Moore,2023-09-21,158.44,Monitor
43,Alice Moore,2023-03-25,810.13,Backpack
44,Alice Moore,2023-10-27,380.13,Laptop
45,Alice Moore,2023-02-23,678.58,Backpack
46,Alice Moore,2023-12-17,608.81,Smartphone
47,Alice Moore,2022-12-26,639.5,Wireless Router
48,Alice Moore,2022-10-14,547.02,Microphone
49,Alice Moore,2022-02-16,253.45,Power Bank
50,Alice Moore,2022-10-29,245.01,Keyboard
51,Alice Moore,2022-07-14,583.66,Headphones
52,Jack Taylor,2022-10-10,317.91,Mouse
53,Jack Taylor,2022-01-11,72.32,Bluetooth Earbuds
54,Jack Taylor,2022-12-14,811.35,Monitor
55,Victor Sanchez,2023-02-22,83.03,Wireless Router
56,Victor Sanchez,2022-09-21,50.08,Bluetooth Earbuds
57,Victor Sanchez,2022-07-09,423.8,Keyboard
58,Victor Sanchez,2023-07-21,450.89,Laptop
59,Victor Sanchez,2022-06-20,683.98,Monitor
60,Victor Sanchez,2022-02-02,598.89,Printer
61,Victor Sanchez,2023-05-06,548.97,Wireless Router
62,Victor Sanchez,2022-05-21,143.0,Wireless Router
63,Tina Harris,2022-08-25,152.27,Keyboard
64,Tina Harris,2022-08-16,994.8,Keyboard
65,Tina Harris,2022-10-17,259.25,Power Bank
66,Paul Lewis,2023-07-17,555.63,Smartphone
67,Paul Lewis,2022-11-28,780.55,Speaker
68,Paul Lewis,2022-04-05,597.25,Wireless Router
69,Uma Moore,2023-05-26,852.79,Keyboard
70,Uma Moore,2022-01-28,796.5,Bluetooth Earbuds
71,Uma Moore,2022-11-18,987.74,Wireless Router
72,Uma Moore,2022-03-06,794.04,Smartwatch
73,Uma Moore,2023-09-28,48.47,Mouse
74,Uma Moore,2023-01-08,123.67,Printer
75,Uma Moore,2022-12-26,889.4,Smartwatch
76,Uma Moore,2022-03-18,775.58,Charger
77,Uma Moore,2023-12-14,466.09,Monitor
78,Uma Moore,2023-09-06,196.05,Charger
79,Uma Moore,2022-11-02,808.27,External Hard Drive
80,Uma Moore,2022-01-01,760.34,Headphones
81,Uma Moore,2023-03-22,10.75,Backpack
82,Uma Moore,2022-10-09,938.54,Microphone
83,Uma Moore,2023-03-01,165.17,Monitor
84,Mona Jones,2023-11-13,115.82,Smartphone
85,Mona Jones,2023-05-22,512.87,Camera
86,Mona Jones,2022-06-01,639.87,Tablet
87,Mona Jones,2023-07-22,206.56,Monitor
88,Mona Jones,2022-05-03,750.87,Camera
89,Mona Jones,2022-05-06,742.47,Tablet
90,Mona Jones,2022-12-11,586.54,Gaming Console
91,Mona Jones,2022-01-28,932.76,Wireless Router
92,Mona Jones,2022-01-19,254.63,Tablet
93,Mona Jones,2023-03-04,283.46,Speaker
94,Leo Young,2022-02-16,814.51,Microphone
95,Leo Young,2023-11-14,573.13,Wireless Router
96,Oscar Perez,2023-01-17,844.24,Tablet
97,Oscar Perez,2023-01-11,321.07,Power Bank
98,Oscar Perez,2023-08-08,379.75,Microphone
99,Bob Walker,2022-02-20,446.29,Mouse
100,Bob Walker,2023-01-08,835.02,Camera
101,Bob Walker,2022-10-19,915.97,Monitor
102,Bob Walker,2023-04-04,439.83,Monitor
103,Bob Walker,2023-05-01,17.22,Microphone
104,Bob Walker,2023-09-09,952.77,Tablet
105,Bob Walker,2022-11-18,418.84,Laptop
106,Bob Walker,2022-06-28,980.05,Printer
107,Bob Walker,2022-10-23,946.73,Keyboard
108,Bob Walker,2023-10-17,589.3,Tablet
109,Bob Walker,2022-11-26,793.07,Smartwatch
110,Bob Walker,2023-07-16,902.18,Power Bank
111,Bob Walker,2022-02-10,942.17,Desk Lamp
112,Bob Walker,2022-10-17,364.95,Laptop
113,Zane Thomas,2022-04-28,410.9,Laptop
114,Zane Thomas,2022-08-26,793.47,External Hard Drive
115,Zane Thomas,2023-12-07,992.46,Printer
116,Zane Thomas,2023-05-11,950.55,Power Bank
117,Zane Thomas,2023-10-07,355.59,Desk Lamp
118,Zane Thomas,2023-02-13,381.47,Mouse
119,Zane Thomas,2023-12-02,357.48,Smartwatch
120,Zane Thomas,2022-01-27,816.17,Printer
121,Zane Thomas,2023-05-23,688.66,Bluetooth Earbuds
122,Zane Thomas,2023-04-19,444.06,Mouse
123,Zane Thomas,2023-05-13,134.05,Tablet
124,Zane Thomas,2022-04-01,291.97,Laptop
125,Zane Thomas,2023-09-12,226.92,Headphones
126,Zane Thomas,2023-04-15,10.65,Mouse
127,Zane Thomas,2022-11-13,796.87,Smartphone
128,Oscar Robinson,2023-05-23,783.98,External Hard Drive
129,Oscar Robinson,2023-02-22,288.81,Bluetooth Earbuds
130,Oscar Robinson,2023-01-28,203.0,Keyboard
131,Oscar Robinson,2023-06-02,247.49,Speaker
132,Oscar Robinson,2022-01-21,235.58,Smartphone
133,Oscar Robinson,2022-12-11,557.49,Desk Lamp
134,Oscar Robinson,2023-05-23,889.12,Wireless Router
135,Oscar Robinson,2023-09-08,290.4,Bluetooth Earbuds
136,Oscar Robinson,2023-12-29,837.87,Power Bank
137,Oscar Robinson,2023-07-17,428.39,Speaker
138,Oscar Robinson,2022-06-14,985.24,Speaker
